ADD INCB 4,70 525 6702
ADD ZNCS 73,14 121 4736
ADD ZXPS 92,16 134 5455
ADD OJYQK 72,49 828 506
ADD SETEY 85,56 735 3841
ADD CXTB 76,23 68 9385
ADD UXI 29,47 211 3628
ADD ZCU 11,70 361 3581
ADD LUYBK 70,54 889 6985
ADD YGHM 40,28 455 5769
ADD VPRJ 78,36 721 4500
ADD JAKLC 59,31 578 2977
ADD UAG 7,04 731 5466
ADD CQA 27,64 136 2909
ADD CAX 59,43 869 108
ADD DCEC 23,80 371 9252
ADD UNJA 1,21 331 4858
ADD TMSFV 76,49 782 3025
ADD TPJ 73,75 591 8841
ADD OIAIX 4,00 77 2289
ADD BSW 71,21 736 3533
ADD LYEB 61,12 951 4914
ADD BSWO 80,00 68 4606
ADD ZBMK 19,97 949 3686
ADD NGXBX 26,91 848 3303
ADD AGW 4,87 514 2989
ADD GXOWU 45,87 372 194
ADD YSUM 60,00 730 9710
ADD UPHQ 52,81 953 77
ADD YANY 53,86 741 2494
ADD UGQIT 13,05 436 6775
ADD WCOLR 14,36 594 6726
ADD EBZ 96,25 322 8978
ADD KBHFX 44,71 438 4337
ADD VCDO 40,38 908 4179
ADD EOHE 91,60 29 1115
ADD KIS 87,83 714 2637
ADD XOGNH 24,57 989 6594
ADD XBBN 14,55 313 5017
ADD BSW 38,06 464 4697
ADD OCA 46,00 15 8913
ADD URFYB 6,48 967 6880
ADD CLTMM 42,76 667 6416
ADD SCQ 6,20 761 5180
ADD KKTA 42,70 799 2115
ADD UFS 68,49 68 6341
ADD RATB 66,94 568 9530
ADD AGT 42,66 240 690
ADD DVUYB 32,21 754 2279
ADD KJVF 29,47 489 4958
ADD TCW 63,80 597 797
ADD CRULA 91,57 771 7830
ADD NWCZW 69,82 373 145
ADD LGYL 60,08 757 5193
ADD ONQX 20,30 603 5852
ADD TTUAL 33,87 897 4166
ADD FRJE 72,67 895 2471
ADD UOPY 11,95 759 6416
ADD ZBIUQ 98,95 31 2830
ADD EDX 8,34 703 301
ADD JVG 99,40 878 8765
ADD SECOO 73,25 566 8066
ADD ZAIBM 32,36 664 629
ADD RAN 85,15 925 3880
ADD EMSSO 50,70 618 5223
